st_cd	year	lhpi_real	lpci_real
26	2006	4.899572	2.560518
26	2007	4.842445	2.568049
26	2008	4.747272	2.57489
26	2009	4.683599	2.544905
26	2010	4.609676	2.567422
26	2011	4.542394	2.576596
27	1975	4.442195	2.130257
27	1976	4.480858	2.140137
27	1977	4.528317	2.184829
27	1978	4.605095	2.203371
27	1979	4.633655	2.185637
27	1980	4.60517	2.175887
27	1981	4.488881	2.152354
27	1982	4.438745	2.129236
27	1983	4.458852	2.163644
27	1984	4.442836	2.25717
27	1985	4.433113	2.272838
27	1986	4.459396	2.314242
27	1987	4.478832	2.333596
27	1988	4.463286	2.322366
27	1989	4.452478	2.357837
27	1990	4.430392	2.364417
27	1991	4.432139	2.364962
27	1992	4.430134	2.384454
27	1993	4.4364	2.36373
27	1994	4.445949	2.395981
27	1995	4.469137	2.41654
27	1996	4.485646	2.44239
27	1997	4.510348	2.463569
27	1998	4.549654	2.519841
27	1999	4.596712	2.539839
27	2000	4.655387	2.556147
27	2001	4.716582	2.547218
27	2002	4.785566	2.570211
27	2003	4.839746	2.598765
27	2004	4.899287	2.623492
27	2005	4.950121	2.608035
27	2006	4.962472	2.639555
27	2007	4.931471	2.651989
27	2008	4.848217	2.66345
27	2009	4.802204	2.632372
27	2010	4.73308	2.651806
27	2011	4.650357	2.647692
28	1975	4.690109	1.777497
28	1976	4.672451	1.83424
28	1977	4.660649	1.87194
28	1978	4.705476	1.884514
28	1979	4.707144	1.891523
28	1980	4.60517	1.841026
28	1981	4.527575	1.848307
28	1982	4.493696	1.855211
28	1983	4.523002	1.859663
28	1984	4.498694	1.912918
28	1985	4.518282	1.927608
28	1986	4.524027	1.945085
28	1987	4.488	1.965459
28	1988	4.434645	1.997422
28	1989	4.390598	2.023073
28	1990	4.352315	2.018408
28	1991	4.3275	2.029013
28	1992	4.334528	2.063878
28	1993	4.335128	2.082848
28	1994	4.361237	2.122539
28	1995	4.380585	2.132668
28	1996	4.393415	2.152099
28	1997	4.407382	2.170204
28	1998	4.442657	2.20804
28	1999	4.461375	2.215866
28	2000	4.458642	2.232882
28	2001	4.48204	2.264956
28	2002	4.49154	2.274741
28	2003	4.500906	2.294487
28	2004	4.512126	2.319893
28	2005	4.534979	2.345712
28	2006	4.586896	2.351051
28	2007	4.608162	2.379072
28	2008	4.571121	2.38825
28	2009	4.559391	2.375772
28	2010	4.512794	2.38265
28	2011	4.466295	2.380621
29	1975	4.609222	2.084018
29	1976	4.603907	2.112728
29	1977	4.624841	2.146359
29	1978	4.688464	2.162467
29	1979	4.675568	2.145352
29	1980	4.60517	2.094823
29	1981	4.49941	2.111766
29	1982	4.429752	2.105128
29	1983	4.453463	2.15189
29	1984	4.484955	2.222366
29	1985	4.509368	2.243581
29	1986	4.548483	2.275665
29	1987	4.576414	2.285229
29	1988	4.573738	2.307902
29	1989	4.539927	2.312785
29	1990	4.49716	2.300311
29	1991	4.480325	2.319176
29	1992	4.483501	2.355704
29	1993	4.482518	2.365109
29	1994	4.499692	2.38792
